user_id,handle,name,followers_count,following_count,tweet_count,is_root,is_candidate,discovered_via
234163619,Chadwick_Moore,Chadwick Moore,131624,2296,11884,False,False,followed_by_root
90480218,RichardGrenell,Richard Grenell,1847060,3775,1360,False,False,followed_by_root
1889464666885382144,DNIGabbard,DNI Tulsi Gabbard,770089,34,431,False,False,followed_by_root
1213227521392558080,Oilfield_Rando,Oilfield Rando,234517,3641,85620,False,False,followed_by_root
2964174789,SenThomTillis,Senator Thom Tillis,186898,4250,8886,False,False,followed_by_root
68538286,hendrycks,Dan Hendrycks,43958,112,1534,False,True,followed_by_root
816869611480186880,PodSaveAmerica,Pod Save America,531996,302,13558,False,False,followed_by_root
1027351783071346688,PhilMickelson,Phil Mickelson,968940,519,4397,False,False,followed_by_root
1882543731179495424,epaleezeldin,Lee Zeldin,252258,39,636,False,False,followed_by_root
343041182,TomCottonAR,Tom Cotton,719641,1181,12876,False,False,followed_by_root
1879652428490149888,VP,Vice President JD Vance,1172368,22,1239,False,False,followed_by_root
23485648,jeffreytucker,Jeffrey A Tucker,258094,3686,106869,False,False,followed_by_root
18061669,lisamurkowski,Sen. Lisa Murkowski,335025,595,15259,False,False,followed_by_root
816683274076614656,SenJohnKennedy,John Kennedy,1666643,1341,6573,False,False,followed_by_root
702688843934277632,boomsupersonic,Boom Supersonic,529661,1719,5764,False,False,followed_by_root
1872160058,Boca_Bill_R,Bill R,11030,139,94,False,True,followed_by_root
8360172,justindross,JD Ross,36530,846,16652,False,True,followed_by_root
2300786360,the_jefferymead,Jeffery Mead,527603,165,2601,False,False,followed_by_root
1883691197832572928,statedeptspox,U.S. Department of State Spokesperson,172938,366,815,False,False,followed_by_root
1845238708779483138,jmusk,James Musk,9561,339,147,False,True,followed_by_root
17338082,TMobile,T-Mobile,1365825,10976,555628,False,False,followed_by_root
10126672,USMC,U.S. Marines,1735077,293,20927,False,False,followed_by_root
115749048,SecretService,U.S. Secret Service,1530876,85,6093,False,False,followed_by_root
1009323691451166720,sendilpalani,Sendil Palani,17289,209,495,False,True,followed_by_root
16989178,JamesOKeefeIII,James O'Keefe,3369450,2324,22746,False,False,followed_by_root
622310854,PaulIngrassia,Paul Ingrassia,59530,1100,19081,False,False,followed_by_root
15134240,NIH,NIH,1725214,230,17348,False,False,followed_by_root
73181712,TheJusticeDept,U.S. Department of Justice,2203751,192,22070,False,False,followed_by_root
